ano_base,linhas_antes_dropna,linhas_apos_dropna,faltantes_ingressantes_t,faltantes_concluintes_t,faltantes_matriculados_t,faltantes_vagas_totais_t,faltantes_inscritos_totais_t,faltantes_taxa_evasao_alvo,faltantes_ano_alvo,linhas_perdidas,percentual_perda
2009,20291,4412,15879,15879,15879,15879,15879,0,0,15879,0.7825636981913163
2010,21300,18360,2940,2940,2940,2940,2940,0,0,2940,0.13802816901408452
2011,23213,19689,3524,3524,3524,3524,3524,0,0,3524,0.1518114849437815
2012,23762,21194,2568,2568,2568,2568,2568,0,0,2568,0.10807171113542631
2013,24147,21599,2548,2548,2548,2548,2548,0,0,2548,0.10552035449538245
2014,24223,21836,2387,2387,2387,2387,2387,0,0,2387,0.09854270734425959
2015,24738,22179,2559,2559,2559,2559,2559,0,0,2559,0.10344409410623333
2016,25719,23144,2575,2575,2575,2575,2575,0,0,2575,0.10012053345775497
2017,26404,23161,3243,3243,3243,3243,3243,0,0,3243,0.12282229965156795
2018,26743,23855,2888,2888,2888,2888,2888,0,0,2888,0.10799087611711476
2019,29847,22330,7517,7517,7517,7517,7517,0,0,7517,0.2518511073139679
2020,28507,0,28507,28507,28507,28507,28507,0,0,28507,1.0
2021,32215,27633,4582,4582,4582,4582,4582,0,0,4582,0.14223187955921154
2022,34163,29815,4348,4348,4348,4348,4348,0,0,4348,0.12727219506483622
2023,34923,31550,3373,3373,3373,3373,3373,0,0,3373,0.0965839131804255
